,cPC1
ARHGAP25,7.76375589112839
ARHGAP26,5.69172648880818
ARHGAP28,-2.555837399037371
ARHGAP29,0.7583112851189769
ARHGAP32,8.661598880785421
ARHGAP33,1.8562767691666129
ARHGAP36,-7.346897983649251
ARHGAP4,-3.2967447802830514
ARHGAP42,-4.615060741496222
ARHGAP45,-5.12026592202809
ARHGAP5-AS1,-6.768130004916699
ARHGAP6,-5.80370163087927
ARHGDIA,-7.368213051911183
ARHGDIB,-3.527118562984346
ARHGDIG,7.936937068469708
ARHGEF10L,-0.2742438163719871
ARHGEF12,6.20881986441983
ARHGEF16,-1.0833332986975521
ARHGEF17,0.32559735459028827
ARHGEF2,5.1995011382021925
ARHGEF25,4.725783435524141
ARHGEF28,-0.12613154992131484
ARHGEF3,2.8529857369724168
ARHGEF4,1.7281690685246267
ARHGEF40,-6.693670653455592
ARHGEF6,-8.257565287930818
ARHGEF7,8.772021836522638
ARHGEF9,5.294468704720917
ARID1A,-6.079003873046223
ARID3B,-5.116640980695004
ARID5A,3.385872628361211
ARL10,0.9616967023195256
ARL14EP,3.2372851852559035
ARL15,0.3350381938982324
ARL16,3.8649029823270706
ARL4A,6.370217963832638
ARL4C,4.741401860999414
ARL5A,-3.297667969139636
ARL8B,-1.2090579587585786
ARL9,2.4051877533087938
ARMC10,5.04783952410258
ARMC2,-5.775397581708124
ARMC7,3.377904315593705
ARMCX1,3.930127586667935
ARMCX2,3.0109535957776425
ARNT2,4.692449570021404
ARNTL,8.829927318291027
ARNTL2,4.379619949612058
ARPC2,-0.4017498749582474
ARPC5,-7.225959904855783
ARPP19,3.016716820186546
ARPP21,12.161979808295902
ARRB1,-5.252642342301532
ARRB2,3.3769860504637568
ARSB,-6.071394690775707
ARSG,0.8378084326088607
ARSJ,1.3117261292762092
ARSK,-0.42610518842094747
ASAH1,-6.872520153416965
ASAP1-IT2,4.670665669015842
ASB1,-3.1873937517013657
ASB5,1.2534943056394732
ASB6,6.287181276496344
ASCC3,-10.303926817557064
ASCL2,-6.2463762219863765
ASF1A,-8.100460896472645
ASGR1,5.9313390718030705
ASGR2,6.185041995556829
ASH1L,4.559865736376676
ASH1L-AS1,1.8485528844947143
ASH2L,4.808424970306269
ASIC1,-6.915884560551199
ASIC2,-1.4966658807522124
ASIP,-7.02786982265693
ASL,3.6630388428513023
ASNSP1,1.1873330207377892
ASPHD2,1.8761047870063772
ASS1,1.4292451996095035
ASTE1,2.5266011472507492
ASTN1,3.4402563844443392
ASTN2,-0.7045914375037073
ASXL1,4.6134736874640625
ASXL2,-7.455950722079493
ASXL3,8.391214708379623
ATAD2B,-5.74892861741576
ATCAY,7.55606709318074
ATF2,4.712533491374984
ATF4,5.18035828253423
ATF7IP2,2.149305663267332
ATG10,4.233658359817521
ATG101,8.48750155369409
ATG12,-6.695114418762661
ATG4B,4.499991247975802
ATG4C,-2.5787951011484895
ATG7,6.556552182848576
ATG9A,6.617271203372558
ATM,-8.536133517200813
ATN1,4.0074928756563
ATOH7,1.17052342481362
ATOX1,-3.340639867397538
ATP10D,-10.273235747110192
ATP11C,-7.702241665143622
ATP13A2,0.7000113858707214
ATP13A4,-6.520817748214188
ATP1B2,-6.619145476244001
ATP2B4,1.914392022136681
ATP2C2,-1.3038352360104486
ATP5ME,-4.703664864780459
ATP5PF,5.365563570512332
ATP6AP1,6.6531945649171345
ATP6AP2,-2.2978310497708807
ATP6V0A1,4.736833463317152
ATP6V0A4,-7.63175072117623
ATP6V0C,8.121312471899746
ATP6V0CP3,4.9813941651994895
ATP6V0D1,5.6044517546139545
ATP6V0E1,-5.352063096790463
ATP6V0E2,2.1066509756294667
ATP6V1A,7.697497340628025
ATP6V1C1,6.752301172408919
ATP6V1E1,8.186310704086338
ATP6V1F,6.935021420019071
ATP6V1G2,3.1389934953387506
ATP6V1H,0.1316395004807824
ATP7B,-6.792944318491136
ATP8A1,-3.3325105118387452
ATP8A2,-2.811191595129642
